Ranking,Name,Tuition,Board,Salary
37,"University of California, San Diego","$42,032","$13,115","$59,167"
38,Claremont McKenna College,"$52,825","$16,220","$71,433"
39,Haverford College,"$52,754","$15,958","$57,867"
40,Carleton College,"$52,782","$13,632","$52,100"
41,Smith College,"$50,044","$16,730","$45,167"
42,University of Washington-Seattle,"$35,538","$12,117","$55,400"
43,Wesleyan University,"$52,504","$14,466","$50,767"
=44,Boston University,"$52,082","$15,270","$62,267"
=44,Bowdoin College,"$51,848","$14,132","$59,833"
46,Purdue University West Lafayette,"$28,794","$10,030","$54,800"
47,University of Illinois at Urbana-Champaign,"$34,719","$11,308","$58,567"
48,Colgate University,"$53,980","$13,520","$61,733"
49,University of Miami,"$48,484","$13,666","$57,467"
50,University of Virginia (Main campus)  ,"$47,650","$11,220","$60,667"
51,Barnard College,"$52,662","$16,100","$57,033"
52,Case Western Reserve University,"$47,500","$14,784","$71,033"
53,Bryn Mawr College,"$50,500","$15,910","$53,767"
54,Davidson College,"$49,949","$13,954","$55,100"
55,Lehigh University,"$50,740","$13,120","$78,600"
56,Vassar College,"$55,210","$12,900","$51,767"
57,Grinnell College,"$50,714","$12,400","$45,500"
58,University of Rochester,"$52,020","$15,398","$58,367"
